wikipedia_movie_ID,movie_box_office_revenue,movie_runtime,movie_genres,year_released,treatment_ethnicity,treatment_female,num_languages,num_countries
29518461,5277143.967480099,91.0,"{'/m/01jfsb': 'Thriller', '/m/03npn': 'Horror', '/m/02b5_l': 'Teen'}",2011.0,0,1,1,1
18410798,23387.056002601,84.0,"{'/m/01jfsb': 'Thriller', '/m/03npn': 'Horror', '/m/01585b': 'Slasher'}",2008.0,0,1,1,1
11643011,6707149.161597054,88.0,"{'/m/0hqxf': 'Family Film', '/m/0bj8m2': ""Children's"", '/m/03k9fj': 'Adventure', '/m/01z4y': 'Comedy'}",1998.0,0,1,3,2
15837630,12477027.446081566,137.0,"{'/m/0lsxr': 'Crime Fiction', '/m/0219x_': 'Indie', '/m/02h8pkk': 'Family Drama', '/m/01t_vv': 'Comedy-drama', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy'}",2009.0,0,1,1,1
2372994,26579922.39471709,116.0,"{'/m/0lsxr': 'Crime Fiction', '/m/02n4kr': 'Mystery', '/m/01jfsb': 'Thriller', '/m/07s9rl0': 'Drama', '/m/02wtdps': 'Crime Thriller'}",1999.0,0,0,1,2
7319564,6497560.43160205,88.0,"{'/m/06n90': 'Science Fiction', '/m/03q4nz': 'World cinema', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/01hmnh': 'Fantasy', '/m/0hqxf': 'Family Film', '/m/0gw5qqq': 'Chinese Movies'}",2008.0,0,0,1,1
694787,16820384.41369746,107.0,"{'/m/0556j8': 'Buddy film', '/m/0hj3mxr': 'Chase Movie', '/m/0hj3l_y': 'Action Comedy', '/m/03btsm8': 'Action/Adventure', '/m/01z4y': 'Comedy', '/m/02kdv5l': 'Action'}",2005.0,0,0,1,2
733818,5042589.024390242,110.0,"{'/m/06cvj': 'Romantic comedy', '/m/0lsxr': 'Crime Fiction', '/m/0219x_': 'Indie', '/m/01t_vv': 'Comedy-drama', '/m/06nbt': 'Satire', '/m/01jfsb': 'Thriller', '/m/01z4y': 'Comedy', '/m/07s9rl0': 'Drama', '/m/0vgkd': 'Black comedy'}",2000.0,1,1,2,2
1182345,6840596.464072271,85.0,"{'/m/0gf28': 'Parody', '/m/02kdv5l': 'Action', '/m/0hj3l_y': 'Action Comedy', '/m/01z4y': 'Comedy'}",2002.0,0,0,1,1
9541497,4587222.921238723,102.0,"{'/m/0lsxr': 'Crime Fiction', '/m/01jfsb': 'Thriller', '/m/0556j8': 'Buddy film', '/m/0hj3n01': 'Crime Drama', '/m/01t_vv': 'Comedy-drama', '/m/03btsm8': 'Action/Adventure', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/02wtdps': 'Crime Thriller', '/m/0vgkd': 'Black comedy', '/m/02kdv5l': 'Action'}",2008.0,1,0,2,4
10216667,344545.01941032335,87.0,{'/m/01z4y': 'Comedy'},2007.0,0,0,1,1
33351052,58036.33707932157,120.0,"{'/m/04rlf': 'Music', '/m/017fp': 'Biography', '/m/07s9rl0': 'Drama'}",2010.0,0,1,1,1
26554437,10933972.702471413,109.0,"{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/01z4y': 'Comedy'}",2011.0,1,1,1,1
314093,259081.99461543164,100.0,"{'/m/06cvj': 'Romantic comedy', '/m/01q03': 'Cult', '/m/026v1nw': 'Hip hop movies', '/m/03btsm8': 'Action/Adventure', '/m/04t36': 'Musical', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film', '/m/02kdv5l': 'Action'}",1991.0,0,1,1,1
12764922,1550000.0,88.0,"{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/06qm3': 'Screwball comedy', '/m/01z4y': 'Comedy', '/m/01g6gs': 'Black-and-white'}",1954.0,0,1,1,1
7068258,1250000.0,77.0,"{'/m/0gf28': 'Parody', '/m/06n90': 'Science Fiction', '/m/03k9fj': 'Adventure', '/m/01g6gs': 'Black-and-white', '/m/01z4y': 'Comedy', '/m/0hqxf': 'Family Film', '/m/09q17': 'Slapstick'}",1953.0,0,0,1,1
1843039,2821785.5520218075,110.0,"{'/m/03btsm8': 'Action/Adventure', '/m/0hj3n7y': 'Indian Western', '/m/02kdv5l': 'Action', '/m/07s9rl0': 'Drama', '/m/0hfjk': 'Western'}",1969.0,1,0,1,1
29454281,27822233.02922643,145.0,"{'/m/07s9rl0': 'Drama', '/m/04xvlr': 'Period piece', '/m/01t_vv': 'Comedy-drama'}",2011.0,0,1,1,3
1839695,11063830.830920335,95.0,"{'/m/0lsxr': 'Crime Fiction', '/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/03npn': 'Horror', '/m/04pbhw': 'Superhero movie', '/m/0btmb': 'Superhero', '/m/03btsm8': 'Action/Adventure', '/m/02kdv5l': 'Action'}",1990.0,0,0,1,1
21918632,64444998.75266273,100.0,"{'/m/06qm3': 'Screwball comedy', '/m/0556j8': 'Buddy film', '/m/01z4y': 'Comedy', '/m/01hwc6': 'Absurdism'}",2009.0,0,0,1,2
4149931,721893.0868473895,113.0,"{'/m/0hqxf': 'Family Film', '/m/07s9rl0': 'Drama', '/m/03k9fj': 'Adventure', '/m/03q4nz': 'World cinema', '/m/0hj3mxx': 'Childhood Drama'}",1983.0,0,1,1,1
238906,2549376.9140636977,123.0,"{'/m/0556j8': 'Buddy film', '/m/0hj3mxr': 'Chase Movie', '/m/04228s': 'Road movie', '/m/03btsm8': 'Action/Adventure', '/m/04t36': 'Musical', '/m/0hj3msd': 'Adventure Comedy', '/m/01z4y': 'Comedy', '/m/02kdv5l': 'Action'}",1998.0,0,0,1,1
3145964,10908045.26767655,88.0,"{'/m/02l7c8': 'Romance Film', '/m/0hqxf': 'Family Film', '/m/01z4y': 'Comedy'}",2005.0,0,1,1,1
2480103,138634.67710689138,114.0,"{'/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/03q4nz': 'World cinema', '/m/082gq': 'War film'}",2005.0,1,0,1,3
1046769,30310410.457584873,125.0,"{'/m/01jfsb': 'Thriller', '/m/03btsm8': 'Action/Adventure', '/m/0cq22f9': 'Action Thrillers', '/m/01drsx': 'Disaster', '/m/02l7c8': 'Romance Film', '/m/02kdv5l': 'Action'}",1997.0,0,1,3,1
9183160,3984789.6876024697,97.0,"{'/m/01jfsb': 'Thriller', '/m/0lsxr': 'Crime Fiction', '/m/04pbhw': 'Superhero movie', '/m/03btsm8': 'Action/Adventure', '/m/02n4kr': 'Mystery', '/m/07s9rl0': 'Drama', '/m/02kdv5l': 'Action'}",2010.0,0,0,1,1
12978934,4992835.254389914,109.0,"{'/m/0hqxf': 'Family Film', '/m/02h8pkk': 'Family Drama', '/m/07s9rl0': 'Drama', '/m/060__y': 'Film adaptation'}",1999.0,0,1,1,1
308430,7308701.305096876,104.0,"{'/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/03npn': 'Horror', '/m/0hj3mt0': 'Alien Film', '/m/0cq22z7': 'Sci-Fi Horror', '/m/02n4kr': 'Mystery', '/m/02b5_l': 'Teen'}",1998.0,1,1,1,1
17344938,510303.4877672114,120.0,"{'/m/02p0szs': 'Historical fiction', '/m/07s9rl0': 'Drama', '/m/082gq': 'War film'}",2008.0,0,0,1,1
675574,14280605.100056475,112.0,"{'/m/0gf28': 'Parody', '/m/03k9fj': 'Adventure', '/m/03btsm8': 'Action/Adventure', '/m/01z4y': 'Comedy', '/m/02kdv5l': 'Action', '/m/09q17': 'Slapstick'}",2001.0,1,1,1,2
16881835,1542241.554092498,110.0,"{'/m/03npn': 'Horror', '/m/03q4nz': 'World cinema', '/m/0hj3m_q': 'Creature Film', '/m/01hmnh': 'Fantasy', '/m/07s9rl0': 'Drama', '/m/02l7c8': 'Romance Film'}",2008.0,0,0,2,1
4890837,3141078.5796763734,84.0,"{'/m/0gf28': 'Parody', '/m/0lsxr': 'Crime Fiction', '/m/01jw2w': 'Gross-out film', '/m/01z4y': 'Comedy', '/m/0bbc17': 'Gross out', '/m/09q17': 'Slapstick'}",2007.0,1,1,1,1
99948,730762.1853600943,80.0,"{'/m/01q03': 'Cult', '/m/06qm3': 'Screwball comedy', '/m/0hj3n2s': 'Fantasy Comedy', '/m/01z4y': 'Comedy'}",1994.0,0,0,1,1
2726812,1060081.0753147001,90.0,"{'/m/0hqxf': 'Family Film', '/m/09q17': 'Slapstick', '/m/01z4y': 'Comedy', '/m/0219x_': 'Indie'}",2005.0,0,1,1,2
341538,14605914.186358936,98.0,"{'/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action', '/m/03k9fj': 'Adventure', '/m/0hqxf': 'Family Film'}",1979.0,0,0,1,1
320527,4950777.202072537,106.0,"{'/m/0lsxr': 'Crime Fiction', '/m/03npn': 'Horror', '/m/01jw2w': 'Gross-out film', '/m/0d63kt': 'Gay', '/m/01q03': 'Cult', '/m/0bc42t_': 'Gay Interest', '/m/0bbc17': 'Gross out', '/m/01z4y': 'Comedy', '/m/04tkhfk': 'Gay Themed', '/m/07s9rl0': 'Drama', '/m/0vgkd': 'Black comedy'}",1972.0,0,1,1,1
2501528,583535.2400922986,91.0,"{'/m/03btsm8': 'Action/Adventure', '/m/02kdv5l': 'Action', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/03k9fj': 'Adventure'}",1993.0,0,0,1,1
26783359,1477.5721583983823,79.0,"{'/m/01t_vv': 'Comedy-drama', '/m/01z4y': 'Comedy', '/m/0219x_': 'Indie'}",2011.0,1,1,1,1
18471278,188812.69909153206,102.0,"{'/m/07s9rl0': 'Drama', '/m/0219x_': 'Indie', '/m/060__y': 'Film adaptation'}",2009.0,1,1,1,1
1039414,336891.1951219511,88.0,"{'/m/0lsxr': 'Crime Fiction', '/m/01jfsb': 'Thriller', '/m/0219x_': 'Indie', '/m/0hj3nby': 'Media Satire', '/m/01q03': 'Cult', '/m/06nbt': 'Satire', '/m/01z4y': 'Comedy', '/m/0vgkd': 'Black comedy', '/m/02kdv5l': 'Action'}",2000.0,1,1,1,2
1612686,6192845.512856149,89.0,"{'/m/01q03': 'Cult', '/m/03npn': 'Horror', '/m/01585b': 'Slasher', '/m/02b5_l': 'Teen'}",2002.0,0,1,1,1
143812,1876745.2536395015,98.0,"{'/m/06cvj': 'Romantic comedy', '/m/0hn10': 'LGBT', '/m/0hj3mz5': 'Comedy of Errors', '/m/02l7c8': 'Romance Film', '/m/01z4y': 'Comedy'}",1999.0,0,0,1,2
203841,22333601.078444596,129.0,"{'/m/01jfsb': 'Thriller', '/m/0cq22f9': 'Action Thrillers', '/m/06n90': 'Science Fiction', '/m/03npn': 'Horror', '/m/03k9fj': 'Adventure', '/m/03btsm8': 'Action/Adventure', '/m/05mrx8': 'Political satire', '/m/06nbt': 'Satire', '/m/082gq': 'War film', '/m/02kdv5l': 'Action'}",1997.0,0,1,1,1
20575760,6475.500148908269,103.0,"{'/m/07s9rl0': 'Drama', '/m/068d7h': 'Romantic drama', '/m/01hmnh': 'Fantasy'}",2007.0,0,1,1,1
952682,3424562.1776977335,142.0,"{'/m/01jfsb': 'Thriller', '/m/0hj3n0w': 'Ensemble Film', '/m/0219x_': 'Indie', '/m/0hj3n01': 'Crime Drama', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/0lsxr': 'Crime Fiction'}",1999.0,0,0,2,1
268833,69171147.32582302,130.0,"{'/m/01jfsb': 'Thriller', '/m/0cq22f9': 'Action Thrillers', '/m/03k9fj': 'Adventure', '/m/03btsm8': 'Action/Adventure', '/m/0hj3n4h': 'Glamorized Spy Film', '/m/02kdv5l': 'Action', '/m/0bkbm': 'Spy'}",1995.0,1,1,3,2
607673,10394014.698481562,110.0,"{'/m/07s9rl0': 'Drama', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film', '/m/01j1n2': 'Coming of age', '/m/0hj3n0w': 'Ensemble Film'}",1985.0,0,1,2,1
517376,5410.054479963979,108.0,"{'/m/0hn10': 'LGBT', '/m/01jfsb': 'Thriller', '/m/0556j8': 'Buddy film', '/m/0219x_': 'Indie', '/m/07s9rl0': 'Drama', '/m/0lsxr': 'Crime Fiction', '/m/0gw5w78': 'Gangster Film', '/m/02kdv5l': 'Action'}",1999.0,0,0,3,2
1968844,15074718.344554452,88.0,"{'/m/0gf28': 'Parody', '/m/0hj3m_x': 'Crime Comedy', '/m/03btsm8': 'Action/Adventure', '/m/01z4y': 'Comedy', '/m/0vgkd': 'Black comedy', '/m/02kdv5l': 'Action'}",1987.0,0,1,1,1
20348262,1345479.2217659429,97.0,"{'/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/09blyk': 'Psychological thriller'}",2009.0,0,1,2,1
30481661,5758.166281994763,103.0,"{'/m/0hqxf': 'Family Film', '/m/01z4y': 'Comedy', '/m/02b5_l': 'Teen'}",2011.0,0,0,1,1
13950959,39984472.151012026,138.0,"{'/m/01jfsb': 'Thriller', '/m/0lsxr': 'Crime Fiction', '/m/03npn': 'Horror', '/m/09blyk': 'Psychological thriller', '/m/02n4kr': 'Mystery', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/060__y': 'Film adaptation', '/m/02wtdps': 'Crime Thriller'}",2010.0,1,0,2,1
2795625,2389445.762662684,111.0,"{'/m/04p5fxn': 'Christian film', '/m/02h8pkk': 'Family Drama', '/m/07s9rl0': 'Drama', '/m/02wtdkf': 'Musical Drama'}",2005.0,0,1,1,1
7527753,4913296.599722028,130.0,"{'/m/03k9fj': 'Adventure', '/m/082gq': 'War film', '/m/03btsm8': 'Action/Adventure', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/060__y': 'Film adaptation', '/m/02kdv5l': 'Action'}",2002.0,1,0,1,2
