wikipedia_movie_ID,movie_box_office_revenue,movie_runtime,movie_genres,year_released,treatment_ethnicity,treatment_female,num_languages,num_countries
2055559,270090.44689432636,130.0,"{'/m/0219x_': 'Indie', '/m/03q4nz': 'World cinema', '/m/04xvh5': 'Costume drama', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/060__y': 'Film adaptation', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film'}",1989.0,0,1,1,3
1703792,1154709.9402362749,94.0,"{'/m/06cvj': 'Romantic comedy', '/m/0hn10': 'LGBT', '/m/0219x_': 'Indie', '/m/01t_vv': 'Comedy-drama', '/m/0d63kt': 'Gay', '/m/0bc42t_': 'Gay Interest', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/04tkhfk': 'Gay Themed', '/m/02l7c8': 'Romance Film'}",2002.0,0,0,1,1
31724000,132283.72993438973,117.0,"{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy'}",2011.0,0,0,1,1
17111814,14654537.189855369,98.0,"{'/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/03k9fj': 'Adventure', '/m/0hj3myq': ""Children's/Family"", '/m/0hj3mt0': 'Alien Film', '/m/01hmnh': 'Fantasy', '/m/0hqxf': 'Family Film', '/m/02kdv5l': 'Action', '/m/0cq23f0': 'Sci-Fi Adventure', '/m/0hj3n26': 'Family-Oriented Adventure'}",2009.0,0,0,1,1
3227969,81936.99819900944,162.0,"{'/m/03q4nz': 'World cinema', '/m/03p5xs': 'Comedy of manners', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/082gq': 'War film', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film'}",1999.0,0,1,1,3
2017211,42580361.68901895,97.0,"{'/m/03k9fj': 'Adventure', '/m/01zhp': 'Computer Animation', '/m/0hcr': 'Animation', '/m/01hmnh': 'Fantasy', '/m/01z4y': 'Comedy', '/m/0hqxf': 'Family Film'}",2008.0,0,0,1,1
6172917,2621292.5572609203,113.0,"{'/m/0hj3n0k': 'Domestic Comedy', '/m/06nbt': 'Satire', '/m/01z4y': 'Comedy', '/m/03p5xs': 'Comedy of manners'}",1994.0,0,1,1,1
4165155,306671.15715809684,100.0,"{'/m/068d7h': 'Romantic drama', '/m/07s9rl0': 'Drama'}",2005.0,0,0,1,1
19344803,73198.71738600344,101.0,"{'/m/0hn10': 'LGBT', '/m/04228s': 'Road movie', '/m/01t_vv': 'Comedy-drama', '/m/0d63kt': 'Gay', '/m/0bc42t_': 'Gay Interest', '/m/07s9rl0': 'Drama', '/m/04tkhfk': 'Gay Themed', '/m/02l7c8': 'Romance Film'}",2008.0,0,0,1,1
2647404,1750845.8394308935,99.0,"{'/m/06cvj': 'Romantic comedy', '/m/0hn10': 'LGBT', '/m/01t_vv': 'Comedy-drama', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film'}",2000.0,0,0,1,1
13547387,133069.8016887964,100.0,"{'/m/07s9rl0': 'Drama', '/m/0hj3n0w': 'Ensemble Film', '/m/01t_vv': 'Comedy-drama', '/m/01z4y': 'Comedy'}",1991.0,0,0,1,1
27002245,23128.761938500127,92.0,"{'/m/07s9rl0': 'Drama', '/m/03q4nz': 'World cinema'}",2009.0,0,0,1,2
27792643,5119650.722866428,80.0,"{'/m/0hj3n0w': 'Ensemble Film', '/m/04t36': 'Musical', '/m/07s9rl0': 'Drama', '/m/0219x_': 'Indie', '/m/015w9s': 'Television movie'}",2010.0,0,1,1,1
7200857,1882291.8732660029,90.0,"{'/m/06cvj': 'Romantic comedy', '/m/0gsy3b': 'Sex comedy', '/m/02l7c8': 'Romance Film', '/m/01z4y': 'Comedy'}",2007.0,0,0,1,1
32204472,9662904.444332335,94.0,"{'/m/0hqxf': 'Family Film', '/m/01z4y': 'Comedy'}",2012.0,0,0,1,2
11436273,4469944.267554196,139.0,"{'/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film', '/m/07s9rl0': 'Drama', '/m/04xvlr': 'Period piece', '/m/060__y': 'Film adaptation'}",2007.0,0,1,1,2
2159529,28361501.512252815,106.0,"{'/m/01jfsb': 'Thriller', '/m/0hj3n0w': 'Ensemble Film', '/m/03btsm8': 'Action/Adventure', '/m/07s9rl0': 'Drama', '/m/01drsx': 'Disaster', '/m/02kdv5l': 'Action', '/m/01xpvb7': 'Airplanes and airports'}",1974.0,0,1,1,1
2312056,18346663.70398976,129.0,"{'/m/04xvh5': 'Costume drama', '/m/04xvlr': 'Period piece', '/m/07s9rl0': 'Drama', '/m/060__y': 'Film adaptation', '/m/068d7h': 'Romantic drama', '/m/02l7c8': 'Romance Film'}",2005.0,0,1,1,2
