wikipedia_movie_ID,movie_box_office_revenue,movie_runtime,movie_genres,year_released,treatment_ethnicity,treatment_female,num_languages,num_countries
4744645,6055299.3968182495,123.0,"{'/m/01jfsb': 'Thriller', '/m/02n4kr': 'Mystery', '/m/07s9rl0': 'Drama', '/m/09blyk': 'Psychological thriller', '/m/060__y': 'Film adaptation'}",1999.0,0,0,1,1
12940547,6676051.045856894,79.0,"{'/m/01jfsb': 'Thriller', '/m/06n90': 'Science Fiction', '/m/03k9fj': 'Adventure', '/m/01zhp': 'Computer Animation', '/m/0hcr': 'Animation', '/m/02n4kr': 'Mystery', '/m/0hc1z': 'Apocalyptic and post-apocalyptic fiction', '/m/01hmnh': 'Fantasy', '/m/02kdv5l': 'Action'}",2009.0,1,0,1,1
535969,4876045.505444506,91.0,"{'/m/0556j8': 'Buddy film', '/m/03k9fj': 'Adventure', '/m/0hj3myq': ""Children's/Family"", '/m/0hj3mtj': 'Animal Picture', '/m/0hj3msd': 'Adventure Comedy', '/m/01z4y': 'Comedy', '/m/0hqxf': 'Family Film', '/m/0hj3n26': 'Family-Oriented Adventure'}",1998.0,0,0,1,1
28370864,5259199.7095511025,84.0,"{'/m/03btsm8': 'Action/Adventure', '/m/0lsxr': 'Crime Fiction', '/m/02kdv5l': 'Action', '/m/01z4y': 'Comedy', '/m/03k9fj': 'Adventure'}",2011.0,1,0,3,3
1619410,1537102.2545663347,85.0,"{'/m/03btsm8': 'Action/Adventure', '/m/02kdv5l': 'Action', '/m/0hj3l_y': 'Action Comedy', '/m/01z4y': 'Comedy', '/m/09q17': 'Slapstick'}",1995.0,0,0,1,1
4848263,479694.64114753425,89.0,"{'/m/01jfsb': 'Thriller', '/m/01hmnh': 'Fantasy', '/m/02kdv5l': 'Action', '/m/03npn': 'Horror'}",2006.0,1,0,1,3
565318,24703736.63038699,130.0,"{'/m/07s2s': 'Time travel', '/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action', '/m/03k9fj': 'Adventure'}",1998.0,1,0,1,2
842825,4111880.2063634996,87.0,"{'/m/06n90': 'Science Fiction', '/m/03k9fj': 'Adventure', '/m/0hj3myq': ""Children's/Family"", '/m/0hcr': 'Animation', '/m/01hmnh': 'Fantasy', '/m/0hj3myc': ""Children's Fantasy"", '/m/0hqxf': 'Family Film', '/m/02kdv5l': 'Action'}",1999.0,1,0,1,1
4734122,120428.69327928312,86.0,"{'/m/01jfsb': 'Thriller', '/m/02wtdps': 'Crime Thriller', '/m/09blyk': 'Psychological thriller', '/m/03q4nz': 'World cinema'}",2005.0,0,0,2,1
2918858,6996751.959377,99.0,"{'/m/01jfsb': 'Thriller', '/m/03btsm8': 'Action/Adventure', '/m/02kdv5l': 'Action', '/m/03npn': 'Horror', '/m/0fdjb': 'Supernatural'}",2005.0,0,0,1,1
770348,670306.4757969301,101.0,"{'/m/068d7h': 'Romantic drama', '/m/04xvlr': 'Period piece', '/m/0hj3nbk': 'Marriage Drama', '/m/07s9rl0': 'Drama', '/m/02l7c8': 'Romance Film'}",1994.0,0,0,1,1
27383563,17584945.93232908,118.0,"{'/m/06n90': 'Science Fiction', '/m/02kdv5l': 'Action'}",2012.0,0,0,1,1
