wikipedia_movie_ID,movie_box_office_revenue,movie_runtime,movie_genres,year_released,treatment_ethnicity,treatment_female,num_languages,num_countries
1330432,5046155.528819862,95.0,"{'/m/06cvj': 'Romantic comedy', '/m/02l7c8': 'Romance Film', '/m/0gsy3b': 'Sex comedy', '/m/01z4y': 'Comedy', '/m/0219x_': 'Indie'}",1995.0,0,1,1,1
4443534,9909757.646831391,95.0,"{'/m/0hj3myq': ""Children's/Family"", '/m/01t_vv': 'Comedy-drama', '/m/0bj8m2': ""Children's"", '/m/01hmnh': 'Fantasy', '/m/01z4y': 'Comedy', '/m/0hqxf': 'Family Film', '/m/0hj3n2s': 'Fantasy Comedy'}",2007.0,0,0,1,1
248222,34622112.66119164,107.0,"{'/m/0lsxr': 'Crime Fiction', '/m/01jfsb': 'Thriller', '/m/01z02hx': 'Sports', '/m/03btsm8': 'Action/Adventure', '/m/02kdv5l': 'Action', '/m/0ltv': 'Auto racing'}",2001.0,1,0,1,2
6254878,24230237.932944264,114.0,"{'/m/0gsy3b': 'Sex comedy', '/m/0556j8': 'Buddy film', '/m/01q03': 'Cult', '/m/01j1n2': 'Coming of age', '/m/01z4y': 'Comedy', '/m/02b5_l': 'Teen'}",2007.0,1,1,1,1
605198,1390096.1551734686,102.0,"{'/m/0556j8': 'Buddy film', '/m/04228s': 'Road movie', '/m/0d63kt': 'Gay', '/m/0bc42t_': 'Gay Interest', '/m/07s9rl0': 'Drama', '/m/04tkhfk': 'Gay Themed', '/m/02l7c8': 'Romance Film'}",1991.0,1,0,2,1
4697464,20340.284029327377,93.0,"{'/m/0lsxr': 'Crime Fiction', '/m/04btyz': 'Heist', '/m/0556j8': 'Buddy film', '/m/0hj3m_x': 'Crime Comedy', '/m/0gw5w78': 'Gangster Film', '/m/016vh2': 'Caper story', '/m/03btsm8': 'Action/Adventure', '/m/01z4y': 'Comedy', '/m/0vgkd': 'Black comedy', '/m/02kdv5l': 'Action'}",1996.0,0,0,1,1
3059082,1365502.851205462,89.0,"{'/m/0lsxr': 'Crime Fiction', '/m/0hj3m_x': 'Crime Comedy', '/m/01t_vv': 'Comedy-drama', '/m/03btsm8': 'Action/Adventure', '/m/07s9rl0': 'Drama', '/m/01z4y': 'Comedy', '/m/0vgkd': 'Black comedy', '/m/02kdv5l': 'Action'}",2005.0,1,0,1,1
12260598,122234218.86562695,94.0,"{'/m/03k9fj': 'Adventure', '/m/0hj3myq': ""Children's/Family"", '/m/0hcr': 'Animation', '/m/01z4y': 'Comedy', '/m/02l7c8': 'Romance Film', '/m/02kdv5l': 'Action', '/m/0hqxf': 'Family Film', '/m/0hj3n26': 'Family-Oriented Adventure'}",2009.0,0,1,1,1
1182345,6840596.464072271,85.0,"{'/m/0gf28': 'Parody', '/m/02kdv5l': 'Action', '/m/0hj3l_y': 'Action Comedy', '/m/01z4y': 'Comedy'}",2002.0,0,0,1,1
468326,9714989.835152887,124.0,"{'/m/01jfsb': 'Thriller', '/m/0hj3n0w': 'Ensemble Film', '/m/0fx2s': 'Tragedy', '/m/07s9rl0': 'Drama', '/m/0lsxr': 'Crime Fiction'}",2003.0,1,1,1,1
